Area,City,Size (sq ft),Price ($)
Countryside,CityD,727,679823
Suburb,CityC,3381,473096
Uptown,CityC,3365,277182
Downtown,CityA,3075,802338
Downtown,CityE,964,846178
Countryside,CityC,777,827729
Uptown,CityA,4614,497968
Seaside,CityD,565,648795
Uptown,CityC,4762,578921
Countryside,CityE,902,748513
Countryside,CityC,4483,354295
Uptown,CityD,3978,210282
Countryside,CityC,3944,321538
Uptown,CityE,4919,291958
Suburb,CityA,3539,432703
Uptown,CityE,1937,625270
Uptown,CityA,928,310913
Countryside,CityB,3182,753416
Countryside,CityE,3277,509362
Downtown,CityE,3878,871393
Downtown,CityD,892,285915
Suburb,CityC,841,351762
Downtown,CityA,632,701025
Uptown,CityA,764,182446
Countryside,CityD,4688,188567
Downtown,CityD,2185,910068
Downtown,CityC,1934,444994
Suburb,CityC,2160,282506
Suburb,CityE,4317,183866
Uptown,CityB,2854,816631
Countryside,CityC,765,162726
Suburb,CityD,1636,967333
Downtown,CityC,1890,602253
Countryside,CityA,1612,765468
Countryside,CityB,2734,693184
Downtown,CityE,3366,273625
Suburb,CityA,3568,665168
Downtown,CityA,2679,869680
Countryside,CityB,1134,414221
Seaside,CityE,4131,103625
Seaside,CityD,1899,138237
Uptown,CityE,3239,101223
Downtown,CityC,3670,290375
Downtown,CityA,2365,165197
Uptown,CityC,2455,336486
Uptown,CityD,2718,436837
Uptown,CityC,1889,735843
Countryside,CityE,3630,399904
Downtown,CityC,4776,572398
Countryside,CityD,4614,996606
Uptown,CityD,1749,489336
Downtown,CityD,3666,551182
Countryside,CityE,1745,391168
Countryside,CityD,553,563539
Uptown,CityA,3410,909634
Downtown,CityD,2896,151524
Uptown,CityC,942,799268
Downtown,CityC,4111,529283
Seaside,CityC,4877,502576
Suburb,CityE,2907,460372
Suburb,CityC,1322,204755
Suburb,CityE,4202,768301
Uptown,CityE,3439,378137
Seaside,CityD,1531,638908
Downtown,CityA,2516,644481
Countryside,CityD,1062,937991
Downtown,CityD,3038,383392
Countryside,CityE,840,539068
Downtown,CityE,4275,949842
Seaside,CityC,2796,366404
Countryside,CityC,734,924028
Uptown,CityD,1616,862436
Downtown,CityB,2408,109012
Downtown,CityB,1917,125823
Countryside,CityC,1791,960283
Uptown,CityB,3988,147027
Uptown,CityC,4154,309239
Seaside,CityE,1028,445938
Uptown,CityD,3824,911531
Uptown,CityA,2480,987859
Uptown,CityD,3439,923424
Suburb,CityC,1829,242049
Seaside,CityC,1733,847590
Downtown,CityD,2253,802736
Countryside,CityC,3300,109218
Downtown,CityB,3433,383932
Seaside,CityB,3259,120501
Countryside,CityC,3275,833349
Seaside,CityC,3987,728021
Uptown,CityB,4350,377354
Countryside,CityC,3027,228476
Uptown,CityC,1390,960657
Downtown,CityD,2565,800849
Downtown,CityA,1688,323989
Countryside,CityB,4797,950153
Countryside,CityD,1240,588260
Seaside,CityA,1869,535869
Seaside,CityC,1889,579894
Uptown,CityC,2500,272022
Countryside,CityD,1971,764276
Downtown,CityC,2036,296983
Seaside,CityE,818,655737
Seaside,CityD,2764,451477
Downtown,CityA,2394,382926
Seaside,CityD,4211,585780
Uptown,CityB,3322,906675
Countryside,CityD,1775,609590
Downtown,CityC,3583,653667
Countryside,CityC,900,137780
Seaside,CityE,1223,739232
Seaside,CityE,2829,882734
Downtown,CityE,1635,906416
Uptown,CityA,3270,624338
Suburb,CityE,767,664493
Downtown,CityA,1069,901594
Suburb,CityE,3056,411890
Suburb,CityA,2473,768465
Uptown,CityD,1045,530715
Suburb,CityD,3322,529857
Suburb,CityC,4960,635916
Uptown,CityA,770,273104
Suburb,CityB,1238,558245
Suburb,CityC,1757,400660
Suburb,CityD,558,449301
Downtown,CityA,4681,494692
Downtown,CityE,889,219558
Downtown,CityB,1218,402944
Uptown,CityD,4744,660076
Seaside,CityC,620,220754
Suburb,CityA,3152,388384
Suburb,CityB,2803,604204
Uptown,CityA,3411,504138
Suburb,CityE,1299,606906
Downtown,CityC,3880,950630
Seaside,CityA,2606,420883
Countryside,CityD,1609,828962
Suburb,CityC,1750,374233
Downtown,CityD,3140,656888
Countryside,CityA,2149,277248
Seaside,CityC,1845,894599
Countryside,CityD,3456,964784
Downtown,CityE,2946,448109
Countryside,CityE,3864,487684
Uptown,CityA,984,855897
Countryside,CityC,1302,917847
Suburb,CityB,2215,566869
Suburb,CityC,2415,171895
Uptown,CityE,3983,966332
Downtown,CityD,2257,857861
Suburb,CityB,2309,718618
Seaside,CityA,3507,569045
Suburb,CityB,3725,158650
Suburb,CityA,3995,568084
Downtown,CityB,2820,100615
Countryside,CityA,2170,800972
Suburb,CityA,1651,964369
Uptown,CityB,2723,871614
Countryside,CityB,3167,622915
Seaside,CityA,710,404080
Downtown,CityE,2994,784732
Seaside,CityB,4762,469956
Countryside,CityC,3007,430019
Countryside,CityD,3463,706070
Countryside,CityA,3928,161700
Seaside,CityA,3875,108109
Countryside,CityD,4455,123758
Seaside,CityE,4205,843987
Countryside,CityD,3905,995024
Uptown,CityB,4538,637605
Countryside,CityD,1552,300073
Seaside,CityA,1213,613909
Suburb,CityD,3388,125622
Countryside,CityC,1187,608911
Suburb,CityB,829,631088
Uptown,CityD,2246,870157
Downtown,CityA,1707,659827
Uptown,CityB,2642,333259
Countryside,CityA,1284,757960
Suburb,CityE,3196,709451
Suburb,CityC,4320,346765
Seaside,CityE,4218,784729
Suburb,CityC,3193,852341
Seaside,CityD,1125,378833
Downtown,CityB,4734,967891
Countryside,CityD,4208,138469
Seaside,CityC,1261,589155
Downtown,CityC,4479,756318
Suburb,CityC,4029,354905
Suburb,CityA,2055,875318
Downtown,CityB,4133,946444
Suburb,CityD,1175,824434
Downtown,CityD,4687,160021
Seaside,CityE,536,582156
Seaside,CityC,4336,281854
Downtown,CityC,2287,568735
Seaside,CityC,3227,331979
Seaside,CityD,4380,648930
Seaside,CityE,2394,441147
Uptown,CityA,636,748002
Countryside,CityB,3576,624493
Suburb,CityA,4383,979377
Uptown,CityD,1161,112442
Seaside,CityC,2310,978258
Downtown,CityB,914,847004
Seaside,CityD,842,138909
Countryside,CityD,3229,381648
Seaside,CityD,3950,557486
Downtown,CityB,4165,195698
Countryside,CityB,4237,860392
Seaside,CityE,4397,804690
Countryside,CityE,4741,187087
Suburb,CityA,4918,309991
Suburb,CityB,2669,837392
Seaside,CityB,2378,141716
Countryside,CityB,4470,305696
Downtown,CityE,3117,278054
Seaside,CityD,2015,258516
Suburb,CityC,1074,797105
Suburb,CityE,4942,134571
Seaside,CityB,3367,323023
Countryside,CityE,4044,979712
Suburb,CityA,4977,839578
Countryside,CityB,571,669326
Suburb,CityA,3068,697083
Suburb,CityB,3937,931600
Uptown,CityE,3480,833442
Suburb,CityD,1617,167690
Downtown,CityC,2886,635518
Seaside,CityA,4008,969733
Seaside,CityE,1859,236974
Countryside,CityD,2015,953190
Suburb,CityE,539,127050
Downtown,CityA,1882,461949
Countryside,CityC,2530,305658
Uptown,CityE,3121,607728
Countryside,CityB,2400,955542
Countryside,CityD,2717,988465
Suburb,CityE,1783,176693
Uptown,CityD,1083,643863
Countryside,CityB,958,814300
Downtown,CityC,2765,402388
Downtown,CityC,3166,576697
Seaside,CityB,1315,377106
Uptown,CityD,3011,331898
Uptown,CityE,746,880839
Seaside,CityB,916,462839
Countryside,CityA,4963,872723
Uptown,CityD,4217,347943
Downtown,CityC,607,190388
Downtown,CityB,3131,851580
Suburb,CityC,1338,177332
Uptown,CityD,1921,808854
Countryside,CityC,4412,407181
Seaside,CityB,755,212666
Seaside,CityD,3327,751336
Countryside,CityA,1337,886360
Suburb,CityB,3462,445184
Seaside,CityE,2782,735552
Uptown,CityB,1052,785401
Suburb,CityD,680,897147
Uptown,CityB,4752,515019
Downtown,CityA,1977,562122
Suburb,CityA,1070,948158
Seaside,CityE,2227,495124
Suburb,CityC,1091,268147
Suburb,CityD,2760,295659
